172;999
009;419
010;416
041;376
053;381
013;371
046;377
203;202
095;403
250;403
035;405
050;400
128;400
190;404
191;401
071;092
231;194
075;190
117;190
118;190
136;191
028;070
031;070
024;052
232;052
244;192
054;197
089;193
210;193
070;602
088;602
056;290
222;290
255;360
197;005
120;495
061;472
034;471
103;474
018;256
109;257
204;264
254;271
040;017
114;017
144;E17
151;E17
150;E19
167;E20
147;E18
240;331
079;330
185;549
184;544
186;552
065;455
068;452
202;452
006;457
036;496
082;492
139;493
090;482
052;490
122;494
251;494
059;479
126;479
049;485
137;488
214;488
217;488
219;488
226;488
238;488
129;486
257;481
080;478
096;484
093;487
055;216
074;216
078;216
081;216
125;216
135;216
200;216
241;216
230;550
069;558
256;402
158;654
157;603
003;205
085;205
027;027
253;028
087;227
037;224
178;222
198;222
193;222
102;273
033;221
076;230
077;234
062;233
104;233
145;532
174;554
044;356
058;356
234;356
030;103
195;196
048;180
057;108
194;102
025;100
110;100
224;106
039;201
001;011
196;003
225;034
011;171
021;035
042;557
097;557
007;632
242;632
164;E02
163;E03
002;511
016;511
012;512
020;563
017;562
005;561
063;508
032;245
038;253
176;900
051;801
140;801
166;507
168;507
169;507
245;483
212;583
215;582
022;580
101;606
213;354
015;351
029;351
072;351
218;351
246;349
023;355
091;355
108;026
131;026
106;023
130;023
115;030
124;022
133;024
134;024
113;021
155;940
008;098
066;098
067;098
098;098
119;098
201;098
207;098
237;098
243;098
123;099
248;099
252;037
014;262
177;159
026;176
004;261
064;294
223;504
019;420
043;525
045;524
047;523
060;H01
073;216
083;633
084;634
086;469
092;468
094;479
099;527
100;527
105;527
107;524
111;527
112;541
116;468
121;406
127;332
132;H02
138;H03
141;601
142;601
143;601
146;520
148;E02
149;601
152;H04
153;580
154;531
156;H05
159;H06
160;E01
161;E01
162;570
165;507
170;H07
171;H08
173;H09
175;H10
179;374
180;601
181;601
182;E02
183;E02
187;531
188;554
189;532
192;H11
199;459
205;400
206;216
208;005
209;216
211;H12
216;H13
220;H14
221;H15
227;351
228;450
229;H16
233;H17
235;487
236;H18
239;H19
247;H20
249;H21
