011;S;1;9
205;N;1;9
261;N;1;9
561;N;1;9
457;N;1;9
632;N;1;9
098;N;1;9
419;N;3;9
171;N;1;9
371;N;3;9
262;N;1;9
351;N;1;9
562;N;1;9
256;N;1;9
420;N;1;9
563;N;3;9
035;N;1;9
580;N;1;9
355;N;1;9
052;N;1;9
100;S;1;9
176;N;1;9
027;N;1;9
070;N;1;9
351;N;1;9
103;N;1;9
070;N;1;9
245;N;1;9
221;N;1;9
471;N;1;9
405;N;1;9
496;N;1;9
224;N;1;9
253;N;1;9
201;N;1;9
017;N;1;9
376;N;1;9
557;N;1;9
525;N;1;9
356;N;1;9
524;N;1;9
377;N;1;9
523;N;1;9
180;N;1;9
485;N;1;9
400;N;1;9
801;N;1;9
490;N;1;9
381;N;1;9
197;N;1;9
216;N;1;9
290;N;1;9
108;S;1;9
356;N;1;9
479;N;1;9
H01;N;1;9
472;N;1;9
233;N;1;9
508;N;1;9
294;N;1;9
455;N;1;9
098;N;1;9
098;N;1;9
452;N;1;9
558;N;1;9
602;N;1;9
092;N;1;9
351;N;1;9
216;N;1;9
216;N;1;9
190;N;1;9
230;N;1;9
234;N;1;9
216;N;1;9
330;N;1;9
478;N;1;9
216;N;1;9
492;N;1;9
633;N;1;9
634;N;1;9
205;N;1;9
469;N;1;9
227;N;1;9
602;N;1;9
193;N;1;9
482;N;1;9
355;N;1;9
468;N;1;9
487;N;1;9
479;N;1;9
403;N;1;9
484;N;1;9
557;N;1;9
098;N;1;9
527;N;1;9
527;N;1;9
606;N;1;9
273;N;1;9
474;N;1;9
233;N;1;9
527;N;1;9
023;N;1;9
524;N;1;9
026;N;1;9
257;N;1;9
100;S;1;9
527;N;1;9
541;N;1;9
021;N;1;9
017;N;1;9
030;N;1;9
468;N;1;9
190;N;1;9
190;N;1;9
098;N;1;9
495;N;1;9
406;N;1;9
494;N;1;9
099;N;1;9
022;N;1;9
216;N;1;9
479;N;1;9
332;N;1;9
400;N;1;9
486;N;1;9
023;N;1;9
026;N;1;9
H02;N;1;9
024;N;1;9
024;N;1;9
216;N;1;9
191;N;1;9
488;N;1;9
H03;N;1;9
493;N;1;9
801;N;1;9
601;N;1;9
601;N;1;9
601;N;1;9
520;N;1;9
601;N;1;9
580;N;1;9
940;N;1;9
H05;N;1;9
603;N;1;9
654;N;1;9
H06;N;1;9
E01;N;1;9
570;N;1;9
E02;N;3;9
507;N;1;9
507;N;1;9
507;N;1;9
507;N;1;9
H07;N;1;9
H08;N;1;9
999;N;1;9
H09;N;1;9
H10;N;1;9
900;N;1;9
159;N;1;9
222;N;1;9
374;N;1;9
601;N;1;9
601;N;1;9
E02;N;3;9
E02;N;1;9
544;N;1;9
549;N;3;9
552;N;1;9
404;N;1;9
401;N;2;1
H11;N;1;9
222;N;1;9
102;S;1;9
196;N;1;9
003;N;1;9
005;N;1;9
222;N;1;9
459;N;1;9
216;N;1;9
098;N;1;9
452;N;1;9
202;N;1;9
264;N;1;9
400;N;1;9
216;N;1;9
098;N;1;9
216;N;1;9
193;N;1;9
H12;N;1;9
583;N;1;9
354;N;1;9
488;N;1;9
582;N;1;9
H13;N;1;9
488;N;1;9
351;N;1;9
488;N;1;9
H14;N;1;9
H15;N;1;9
290;N;1;9
504;N;1;9
106;S;1;9
034;N;1;9
488;N;1;9
351;N;1;9
450;N;1;9
H16;N;1;9
550;N;1;9
194;N;1;9
052;S;1;9
H17;N;1;9
356;N;1;9
487;N;1;9
H18;N;1;9
098;N;1;9
488;N;1;9
H19;N;1;9
331;N;1;9
216;N;1;9
632;N;1;9
098;N;1;9
192;N;1;9
483;N;1;9
349;N;1;9
H20;N;1;9
099;N;1;9
H21;N;1;9
403;N;1;9
494;N;1;9
037;N;1;9
028;N;1;9
271;N;1;9
360;N;1;9
402;N;1;9
481;N;1;9
