001;S;;1;9;001
003;N;;1;9;206
004;N;;1;9;261
006;N;;1;9;457
007;N;;1;9;404
008;N;;2;1;401
009;N;;3;9;419
010;N;189;1;9;416
011;N;;1;9;171
012;N;013;3;9;512
013;N;;3;9;371
014;N;;1;9;262
015;N;;1;9;H11
017;N;;1;9;562
018;N;;1;9;256
019;N;;1;9;487
020;N;;3;9;563
021;N;;1;9;037
022;N;;1;9;660
023;N;;1;9;468
024;N;;1;9;H22
025;N;;1;9;025
026;S;;1;9;101
027;N;;1;9;027
028;N;;1;9;070
029;N;;1;9;485
030;N;;1;9;026
031;N;;1;9;452
032;N;;1;9;216
033;N;;1;9;524
034;N;;1;9;405
035;N;;1;9;221
036;N;;1;9;405
037;N;;1;9;224
038;N;;1;9;355
039;N;;1;9;H23
040;N;;1;9;017
041;N;;1;9;017
042;N;;1;9;494
043;N;;1;9;400
044;N;;1;9;534
045;N;;1;9;534
046;N;;1;9;383
047;N;;1;9;230
048;N;;1;9;H24
049;S;;1;9;003
050;N;;1;9;294
051;N;;1;9;356
052;N;;1;9;525
053;N;;1;9;420
054;N;;1;9;558
055;N;;1;9;233
056;N;;1;9;602
057;N;;1;9;801
058;N;;1;9;602
059;N;;1;9;534
060;N;;1;9;386
061;N;;1;9;H01
062;N;;1;9;227
063;N;;1;9;455
064;N;;1;9;103
065;N;;1;9;484
066;N;;1;9;216
067;N;;1;9;233
068;N;;1;9;234
069;N;;1;9;H25
070;N;;1;9;H26
071;N;;1;9;541
072;N;;1;9;534
073;N;;1;9;356
074;N;;1;9;582
075;N;;1;9;583
076;N;;1;9;261
077;N;;1;9;202
078;N;;1;9;452
079;N;;1;9;601
080;S;;1;9;052
081;N;;1;9;205
082;N;;1;9;351
083;S;;1;9;107
084;N;;1;9;493
085;N;;1;9;633
086;N;;1;9;262
087;N;;1;9;511
088;N;;1;9;256
089;N;;1;9;527
090;N;;1;9;541
091;N;;1;9;955
092;N;;1;9;507
093;N;;1;9;507
094;N;;1;9;507
095;N;;1;9;507
096;N;;1;9;953
097;N;;1;9;037
098;N;;1;9;601
099;N;;1;9;507
100;N;;1;9;601
101;N;;1;9;606
102;N;;1;9;457
103;N;;1;9;034
104;N;;1;9;035
105;N;;1;9;037
106;N;;1;9;374
107;N;;1;9;222
108;N;;1;9;222
109;N;;1;9;351
110;N;;1;9;098
111;N;;1;9;176
112;N;;1;9;527
113;N;;1;9;330
114;S;;1;9;196
115;N;;1;9;290
116;N;;1;9;632
117;N;;1;9;488
118;N;;1;9;005
119;N;;1;9;180
120;N;;1;9;245
121;N;;1;9;351
122;N;;1;9;216
123;N;;1;9;486
124;N;;1;9;H03
125;N;;1;9;471
126;N;;1;9;099
127;N;;1;9;487
128;N;;1;9;478
129;N;;1;9;216
130;N;;1;9;H17
131;N;;1;9;472
133;N;;1;9;037
134;N;;1;9;455
135;N;;1;9;483
136;N;;1;9;358
137;N;;1;9;660
138;N;;1;9;358
140;N;;1;9;801
141;N;;1;9;601
142;N;;1;9;601
143;N;;1;9;216
145;N;189;1;9;532
146;N;;1;9;482
148;N;147;3;9;E02
149;N;;1;9;601
152;N;151;1;9;H04
153;N;;1;9;580
154;N;187;1;9;531
155;N;;1;9;940
156;N;;1;9;H05
157;N;;1;9;603
158;N;;1;9;654
159;N;;1;9;H06
160;N;144;1;9;E01
161;N;;1;9;E01
162;N;;1;9;570
163;N;144;1;9;E03
164;N;;3;9;E02
165;N;;1;9;507
166;N;;1;9;507
168;N;;1;9;507
169;N;;1;9;507
170;N;;1;9;H07
171;N;;1;9;H08
172;N;;1;9;091
173;N;;1;9;H09
174;N;188;1;9;554
175;N;;1;9;H10
176;N;;1;9;H27
177;N;;1;9;159
178;N;;1;9;222
179;N;;1;9;374
180;N;;1;9;360
181;N;;1;9;999
182;N;;3;9;E02
183;N;;1;9;999
184;N;;1;9;H09
185;N;;1;9;H09
186;N;;1;9;H09
191;N;;1;9;037
192;N;;1;9;192
193;N;;1;9;271
194;N;;1;9;360
195;N;;1;9;999
196;N;;1;9;999
197;N;;1;9;999
198;N;;1;9;999
199;N;;1;9;999
200;N;;1;9;H21
