movtoclc;00001;1;15;00006252;09;2013;01102013;1;9;561;;00000149605;00000001391;;0000003318;0000730000
movtoclc;00002;1;14;00006399;06;2014;01072014;1;9;561;;00000201389;00000004133;;0000003568;0000785000
movtoclc;00003;1;14;00006399;07;2009;01082009;1;9;561;;00000112454;00000002067;;0000002114;0000465000
movtoclc;00004;1;14;00007346;05;2014;01062014;1;9;561;;00000235808;00000005801;;0000003568;0000785000
movtoclc;00005;1;14;00007346;06;2011;01072011;1;9;561;;00000234715;00000003319;;0000002477;0000545000
movtoclc;00006;1;14;00007346;06;2014;01072014;1;9;561;;00000170249;00000001117;;0000003568;0000785000
movtoclc;00007;1;14;00007346;07;2007;01082007;1;9;561;;00000154619;00000003487;;0000001727;0000380000
movtoclc;00008;1;14;00007346;07;2009;01082009;1;9;561;;00000083817;00000001833;;0000002114;0000465000
movtoclc;00009;1;14;00007346;07;2010;01082010;1;9;561;;00000118932;00000001093;;0000002318;0000510000
movtoclc;00010;1;14;00007346;07;2011;01082011;1;9;561;;00000199621;00000005009;;0000002636;0000580000
movtoclc;00011;1;14;00007346;07;2013;01082013;1;9;561;;00000216157;00000003304;;0000003318;0000730000
movtoclc;00012;1;14;00007346;08;2008;01092008;1;9;561;;00000099256;00000007211;;0000001886;0000415000
movtoclc;00013;1;14;00007346;08;2013;01092013;1;9;561;;00000202273;00000001181;;0000003318;0000730000
movtoclc;00014;1;14;00007346;09;2013;01102013;1;9;561;;00000185461;00000004359;;0000003318;0000730000
movtoclc;00015;1;14;00009898;05;2014;01062014;1;9;561;;00000223596;00000002459;;0000003568;0000785000
movtoclc;00016;1;14;00009898;06;2014;01072014;1;9;561;;00000172312;00000001155;;0000003568;0000785000
movtoclc;00017;1;14;00009898;08;2012;01092012;1;9;561;;00000104462;00000001152;;0000003023;0000665000
movtoclc;00018;1;14;00009913;06;2011;01072011;1;9;561;;00000218966;00000002213;;0000002477;0000545000
movtoclc;00019;1;14;00009913;06;2014;01072014;1;9;561;;00000163857;00000002413;;0000003568;0000785000
movtoclc;00020;1;14;00009913;07;2009;01082009;1;9;561;;00000095836;00000002159;;0000002114;0000465000
movtoclc;00021;1;14;00009913;07;2010;01082010;1;9;561;;00000155634;00000003841;;0000002318;0000510000
movtoclc;00022;1;14;00009913;07;2011;01082011;1;9;561;;00000179207;00000003574;;0000002636;0000580000
movtoclc;00023;1;14;00009913;07;2013;01082013;1;9;561;;00000191559;00000001264;;0000003318;0000730000
movtoclc;00024;1;14;00009913;08;2008;01092008;1;9;561;;00000071840;00000004633;;0000001886;0000415000
movtoclc;00025;1;14;00009913;09;2013;01102013;1;9;561;;00000153401;00000001998;;0000003318;0000730000
movtoclc;00026;1;14;00009944;09;2013;01102013;1;9;561;;00000170087;00000001192;;0000003318;0000730000
movtoclc;00027;1;15;00010021;05;2014;01062014;1;9;561;;00000204979;00000001015;;0000003568;0000785000
movtoclc;00028;1;15;00010021;08;2008;01092008;1;9;561;;00000081976;00000002382;;0000001886;0000415000
movtoclc;00029;1;15;00010021;09;2011;01102011;1;9;561;;00000156860;00000001576;;0000002636;0000580000
movtoclc;00030;1;14;00010493;05;2014;01062014;1;9;561;;00000236849;00000004682;;0000003568;0000785000
movtoclc;00031;1;14;00010493;06;2011;01072011;1;9;561;;00000210683;00000002071;;0000002477;0000545000
movtoclc;00032;1;14;00010493;06;2014;01072014;1;9;561;;00000187203;00000002507;;0000003568;0000785000
movtoclc;00033;1;14;00010493;07;2011;01082011;1;9;561;;00000193493;00000002434;;0000002636;0000580000
movtoclc;00034;1;14;00010498;05;2014;01062014;1;9;561;;00000199809;00000004925;;0000003568;0000785000
movtoclc;00035;1;15;00010529;07;2009;01082009;1;9;561;;00000076380;00000001170;;0000002114;0000465000
movtoclc;00036;1;14;00010579;07;2009;01082009;1;9;561;;00000090109;00000001298;;0000002114;0000465000
movtoclc;00037;1;14;00010583;06;2014;01072014;1;9;561;;00000171581;00000001780;;0000003568;0000785000
movtoclc;00038;1;14;00010583;07;2010;01082010;1;9;561;;00000114682;00000001180;;0000002318;0000510000
movtoclc;00039;1;14;00010583;07;2011;01082011;1;9;561;;00000140992;00000001925;;0000002636;0000580000
movtoclc;00040;1;14;00010583;07;2013;01082013;1;9;561;;00000195618;00000002596;;0000003318;0000730000
movtoclc;00041;1;14;00010583;09;2013;01102013;1;9;561;;00000201919;00000003059;;0000003318;0000730000
movtoclc;00042;1;14;00010927;05;2014;01062014;1;9;561;;00000235809;00000002798;;0000003568;0000785000
movtoclc;00043;1;14;00010927;06;2011;01072011;1;9;561;;00000234713;00000003347;;0000002477;0000545000
movtoclc;00044;1;14;00010927;06;2014;01072014;1;9;561;;00000169838;00000001096;;0000003568;0000785000
movtoclc;00045;1;14;00010927;07;2010;01082010;1;9;561;;00000118932;00000001090;;0000002318;0000510000
movtoclc;00046;1;14;00010927;07;2011;01082011;1;9;561;;00000196838;00000004796;;0000002636;0000580000
movtoclc;00047;1;14;00010927;07;2013;01082013;1;9;561;;00000190538;00000001549;;0000003318;0000730000
movtoclc;00048;1;14;00010927;08;2012;01092012;1;9;561;;00000161560;00000001025;;0000003023;0000665000
movtoclc;00049;1;14;00010927;09;2013;01102013;1;9;561;;00000175549;00000003688;;0000003318;0000730000
movtoclc;00050;1;14;00011234;06;2011;01072011;1;9;561;;00000214462;00000004244;;0000002477;0000545000
movtoclc;00051;1;14;00011234;06;2014;01072014;1;9;561;;00000218439;00000004290;;0000003568;0000785000
